days,prob
1,0.00186404
2,0.002586985
3,0.003028244
4,0.003083949
5,0.003076408
6,0.002233053
7,0.001917556
8,0.002784506
9,0.003012919
10,0.003029704
11,0.003024352
12,0.003097814
13,0.002149375
14,0.001901744
15,0.002657771
16,0.002998567
17,0.003002703
18,0.003076651
19,0.003001487
20,0.002133563
21,0.001909528
22,0.002783776
23,0.003027514
24,0.002978378
25,0.003057678
26,0.002965485
27,0.002139401
28,0.001887879
29,0.00280056
30,0.003037731
31,0.003035055
32,0.003035055
33,0.003033353
34,0.00210413
35,0.001876932
36,0.002876455
37,0.003049407
38,0.00300246
39,0.003013892
40,0.00300246
41,0.002138428
42,0.001839715
43,0.002838751
44,0.002983972
45,0.003208737
46,0.003072759
47,0.003005379
48,0.002094157
49,0.001837769
50,0.002559498
51,0.003009757
52,0.003038704
53,0.003036272
54,0.002977891
55,0.002105589
56,0.001895906
57,0.002756532
58,0.00300027
59,0.002969864
60,0.003047948
61,0.00301219
62,0.002173457
63,0.001897122
64,0.002775749
65,0.003001487
66,0.003004406
67,0.003026055
68,0.003031163
69,0.00214232
70,0.001872311
71,0.002820507
72,0.003048921
73,0.003059624
74,0.003046731
75,0.00303092
76,0.002190728
77,0.001830715
78,0.002761397
79,0.003130167
80,0.003086868
81,0.003033839
82,0.003024109
83,0.002147915
84,0.001897366
85,0.002746315
86,0.003057678
87,0.003033109
88,0.003008054
89,0.002933376
90,0.00213332
91,0.001754333
92,0.002839481
93,0.003129194
94,0.003078354
95,0.003025568
96,0.003018028
97,0.002129671
98,0.001877419
99,0.002825859
100,0.003169817
101,0.00314087
102,0.003097328
103,0.002646825
104,0.002009748
105,0.001758712
106,0.002729288
107,0.003129924
108,0.003011703
109,0.00298154
110,0.002991027
111,0.002152537
112,0.001887149
113,0.002839237
114,0.003157654
115,0.003096112
116,0.003055245
117,0.003000514
118,0.002085643
119,0.001849202
120,0.002776965
121,0.003171276
122,0.003050867
123,0.003064002
124,0.002986162
125,0.002139401
126,0.001946259
127,0.002830237
128,0.00317006
129,0.003035055
130,0.003072759
131,0.002991027
132,0.002114346
133,0.001819282
134,0.002816128
135,0.003192439
136,0.003071057
137,0.003072273
138,0.002995162
139,0.002141347
140,0.001880825
141,0.002841183
