"","SEX","AGE","EDUCYRS","MNC","VOTE_LE"
"1",1,53,16,4,2
"2",2,26,16,2,1
"4",1,56,11,2,2
"5",2,40,11,3,1
"6",2,25,16,1,2
"7",1,56,16,2,1
"8",2,30,14,2,2
"10",1,38,14,2,2
"11",2,28,18,2,2
"12",1,35,13,4,1
"14",2,61,16,3,1
"15",2,54,16,4,1
"16",1,53,12,2,1
"17",1,31,14,1,2
"18",2,69,10,2,2
"19",1,35,16,4,1
"20",1,80,14,4,1
"21",2,50,16,2,2
"22",2,43,12,3,1
"23",2,32,15,2,0
"24",2,52,18,2,1
"25",1,42,16,2,1
"26",2,81,12,2,1
"27",2,24,17,2,1
"28",2,44,18,2,1
"29",2,43,16,2,1
"30",2,47,20,5,1
"31",1,51,14,2,2
"32",2,66,20,3,1
"33",2,41,18,4,1
"34",1,54,16,2,1
"36",2,55,6,1,2
"37",1,51,11,2,1
"38",2,35,11,3,2
"39",1,56,10,1,1
"40",1,25,12,2,1
"41",2,48,14,3,2
"43",2,24,8,2,2
"44",2,43,13,2,1
"45",1,41,16,1,1
"46",1,81,16,4,1
"47",2,74,16,2,2
"48",1,42,20,2,1
"49",1,23,16,1,2
"50",1,26,12,3,0
"51",2,29,12,2,2
"52",1,28,12,3,1
"53",2,60,16,3,1
"54",2,38,16,4,1
"55",1,30,16,4,1
"56",2,58,16,1,2
"57",2,61,18,1,1
"58",2,56,16,1,1
"59",2,79,16,4,1
"61",2,89,15,3,2
"63",1,77,17,2,1
"64",1,47,13,2,1
"65",1,63,16,1,1
"66",2,29,14,3,1
"67",1,55,12,2,1
"68",2,38,17,2,1
"69",1,37,12,2,0
"70",1,54,14,2,2
"72",1,48,14,3,1
"73",1,46,12,4,1
"74",2,86,14,3,1
"75",1,54,10,2,1
"76",2,45,14,2,1
"77",2,75,18,3,1
"78",2,63,13,3,1
"79",2,59,16,1,1
"80",2,45,20,3,1
"81",1,59,15,1,2
"82",2,20,12,2,0
"83",1,63,18,2,1
"84",2,71,16,4,1
"85",2,26,12,3,2
"86",1,46,12,3,2
"87",2,56,3,4,2
"88",2,45,14,3,1
"89",1,62,12,4,1
"90",1,37,16,2,1
"91",2,35,12,3,1
"92",2,36,13,1,1
"93",2,78,11,4,1
"94",1,46,16,2,1
"95",1,50,9,3,2
"96",2,41,6,2,2
"97",2,53,3,4,2
"98",2,35,11,2,2
"99",2,41,14,3,1
"100",2,61,14,2,1
"101",1,56,16,3,2
"102",2,24,16,3,2
"103",1,43,12,4,2
"104",1,59,12,3,1
"105",2,41,16,4,2
"106",2,59,16,2,1
"107",2,23,15,1,2
"108",1,19,12,3,0
"109",1,19,12,2,0
"110",2,45,13,2,2
"111",2,75,16,4,2
"112",2,41,12,3,1
"113",2,58,16,2,1
"114",1,72,16,3,1
"115",2,66,14,2,1
"116",1,58,13,2,2
"117",1,43,14,2,1
"118",2,31,13,2,1
"119",2,30,13,3,1
"120",2,25,10,2,1
"122",2,40,13,3,2
"123",1,78,18,3,2
"124",2,46,18,3,1
"125",1,43,18,1,0
"126",2,50,14,1,1
"127",1,32,19,3,2
"128",2,26,12,2,1
"129",1,20,14,1,2
"130",2,57,12,2,1
"131",1,31,10,4,2
"132",1,84,19,4,1
"133",2,54,16,3,1
"134",1,26,12,1,2
"135",2,43,16,3,1
"136",1,65,16,2,1
"137",2,34,19,2,1
"138",2,25,15,2,2
"139",1,25,12,2,2
"140",1,55,20,1,1
"141",2,31,10,4,2
"142",1,33,12,3,0
"143",1,27,19,3,1
"144",1,62,16,5,1
"145",2,70,17,1,1
"146",1,58,16,3,1
"147",2,54,14,2,1
"148",2,19,12,4,0
"150",2,73,19,3,1
"151",2,36,6,1,2
"152",1,23,10,2,2
"153",2,64,18,2,1
"154",1,50,18,3,1
"155",1,74,16,2,1
"156",2,45,17,4,2
"157",2,69,12,4,1
"158",1,36,12,2,2
"159",1,65,12,2,1
"160",1,29,18,4,2
"162",2,57,12,1,1
"163",1,40,12,2,1
"164",2,30,16,2,1
"165",2,58,15,2,1
"166",2,24,16,2,2
"167",1,43,16,2,1
"168",1,63,16,4,1
"169",1,49,16,4,1
"170",1,57,20,2,1
"171",2,33,12,3,0
"172",1,33,12,2,2
"174",1,55,12,1,1
"175",2,22,14,2,1
"176",2,58,16,3,1
"177",2,55,14,2,1
"178",2,36,20,2,1
"179",2,52,14,1,1
"180",1,70,16,4,1
"181",2,31,16,2,2
"182",1,88,20,3,1
"183",2,34,16,4,1
"184",2,77,12,3,1
"185",1,49,12,3,1
"186",1,32,13,3,1
"187",2,57,20,3,1
"188",1,39,15,2,1
"189",1,52,15,2,0
"190",2,22,10,2,2
"191",1,25,16,3,1
