,COUNTRY,C_ALPHAN,TRDBR,MNC,TRDPR,AUTO,IOPWR,GLBCTZ,IMMCRM,IMMGOOD,IMMJOB,IMMNEWCUL,IMMBADCUL,IMMEQURIGHT,IMMEXCLUDED,IMMEDU,IMMNUM,SEX,BIRTH,AGE,EDUCYRS,DEGREE,WORK,WRKHRS,EMPREL,NEMPLOY,WRKSUP,NSUP,TYPORG1,TYPORG2,ISCO88,MAINSTAT,PARTLIV,SPWORK,SPWRKHRS,SPEMPREL,SPWRKSUP,SPISCO88,SPMAINST,UNION,TOPBOT,VOTE_LE,BE_PRTY,CH_PRTY,CZ_PRTY,DE_PRTY,DK_PRTY,EE_PRTY,ES_PRTY,FI_PRTY,FR_PRTY,GB_PRTY,GE_PRTY,HR_PRTY,HU_PRTY,IE_PRTY,IL_PRTY,IN_PRTY,IS_PRTY,JP_PRTY,KR_PRTY,LT_PRTY,LV_PRTY,MX_PRTY,NO_PRTY,PH_PRTY,PT_PRTY,RU_PRTY,SE_PRTY,SI_PRTY,SK_PRTY,TR_PRTY,TW_PRTY,US_PRTY,ZA_PRTY,PARTY_LR,HHCHILDR,HHTODD,HOMPOP,US_INC,ZA_INC,MARITAL,URBRURAL,CASEID,names,UNEMP,TRAINEE,hhinc,inc_st
1,840,US,4,4,1,1,4,4,4,2,1,2,4,4,4,2,3,1,1961,53,16,5,1,60,3,2,1,0,NA,2,1313,1,3,NA,0,0,0,NA,0,3,6,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,0,0,1,82500,NA,4,2,2.01308E+14,United States,0,0,82500,0.588850258
2,840,US,4,2,1,2,3,5,5,2,4,2,4,4,2,1,3,2,1988,26,16,5,1,40,1,0,2,0,NA,2,2412,1,1,1,75,1,0,5122,1,3,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,2,160000,NA,1,2,2.01308E+14,United States,0,0,160000,2.24833735
3,840,US,NA,NA,NA,NA,3,3,4,1,4,1,3,3,4,2,3,2,1971,43,5,0,3,0,0,0,0,0,NA,NA,NA,7,1,1,40,2,0,9131,1,3,6,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,0,0,5,11250,NA,1,1,2.01308E+14,United States,0,0,11250,0.936807229
4,840,US,1,2,2,2,2,1,1,5,1,5,1,5,1,4,5,1,1958,56,11,2,2,0,1,0,0,0,NA,2,8322,5,3,NA,0,0,0,NA,0,0,3,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,0,0,1,11250,NA,6,1,2.01308E+14,United States,0,0,11250,0.936807229
5,840,US,2,3,2,3,2,4,3,4,1,4,2,4,1,2,5,2,1974,40,11,3,1,37,1,0,2,0,NA,2,3226,1,1,2,0,1,0,9140,2,0,7,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,2,23750,NA,1,1,2.01308E+14,United States,0,0,23750,0.669148021
6,840,US,4,1,1,2,4,4,4,3,2,3,3,2,4,1,4,2,1989,25,16,3,2,0,1,0,0,0,NA,2,5123,3,3,NA,0,0,0,NA,0,3,6,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,0,0,3,27500,NA,6,2,2.01308E+14,United States,0,0,27500,0.588850258
7,840,US,1,2,3,2,2,4,4,3,2,2,3,4,1,2,5,1,1958,56,16,3,1,6,2,0,2,0,NA,2,7230,1,1,1,40,1,0,3415,1,3,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,2,67500,NA,1,2,2.01308E+14,United States,0,0,67500,0.267659208
8,840,US,1,2,4,4,4,4,5,3,4,3,3,3,3,2,NA,2,1984,30,14,3,1,38,1,0,1,0,NA,2,3411,1,3,NA,0,0,0,NA,0,0,6,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,2,0,3,23750,NA,4,2,2.01308E+14,United States,0,0,23750,0.669148021
9,840,US,NA,NA,2,2,NA,2,4,2,4,2,4,NA,NA,2,NA,2,1972,42,11,3,2,0,1,0,0,0,NA,2,5122,7,3,NA,0,0,0,NA,0,3,4,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,2,1,4,11250,NA,3,2,2.01308E+14,United States,0,0,11250,0.936807229
10,840,US,5,2,2,3,4,3,4,3,4,2,4,4,4,1,2,1,1976,38,14,3,2,0,1,0,0,0,NA,2,5141,3,2,NA,0,0,0,NA,0,3,7,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,0,0,2,32500,NA,6,2,2.01308E+14,United States,0,0,32500,0.481786575
11,840,US,3,2,3,5,2,2,4,4,2,2,2,2,4,2,3,2,1986,28,18,6,1,28,2,0,2,0,NA,2,1233,1,3,NA,0,0,0,NA,0,3,3,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,0,0,1,500,NA,6,2,2.01308E+14,United States,0,0,500,1.166994148
12,840,US,3,4,2,4,4,4,2,3,2,3,3,4,2,3,3,1,1979,35,13,3,1,40,1,0,2,0,NA,2,6113,1,2,NA,0,0,0,NA,0,0,7,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,1,23750,NA,3,2,2.01308E+14,United States,0,0,23750,0.669148021
13,840,US,2,3,2,3,2,4,2,2,2,3,2,4,2,2,5,2,NA,NA,17,5,2,0,1,0,0,0,NA,2,3413,7,1,2,0,1,0,3413,6,0,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,3,990,6,0,0,2,1.00E+05,NA,1,2,2.01308E+14,United States,0,0,1.00E+05,0.96357315
14,840,US,2,3,2,3,2,3,4,2,4,2,4,2,2,2,5,2,1953,61,16,5,1,40,1,0,1,0,NA,2,4121,1,2,NA,0,0,0,NA,0,0,4,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,2,82500,NA,4,2,2.01308E+14,United States,0,0,82500,0.588850258
15,840,US,3,4,2,2,4,4,4,2,4,2,4,3,2,4,4,2,1960,54,16,5,2,0,1,0,2,0,NA,2,NA,1,3,NA,0,0,0,NA,0,0,NA,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,1,160000,NA,6,2,2.01308E+14,United States,0,0,160000,2.24833735
16,840,US,4,2,2,2,2,4,3,2,4,2,4,4,2,2,3,1,1961,53,12,3,1,40,1,0,2,0,NA,2,5122,1,1,1,40,1,0,3300,1,1,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,3,55000,NA,1,2,2.01308E+14,United States,0,0,55000,0
